x,y
943.4, 2533.6
821.2, 2411.4
699, 2289.2
576.8, 2167
576.8, 1922.6
699, 1800.4
821.2, 1678.2
943.4, 1556
1187.8, 1556
1310, 1678.2
1432.2, 1800.4
1554.4, 1922.6
1554.4, 2167
1432.2, 2289.2
1310, 2411.4
1187.8, 2533.6
454.7, 2044.8
1065.6, 1433.9
1676.5, 2044.8
1065.6, 2655.7
4003.2, 3866.4
3830.4, 3866.4
3657.6, 3866.4
3484.8, 3866.4
3312, 3693.6
3312, 3520.8
3312, 3348
3312, 3175.2
3484.8, 3002.4
3657.6, 3002.4
3830.4, 3002.4
4003.2, 3002.4
4176, 3175.2
4176, 3348
4176, 3520.8
4176, 3693.6
3312, 3866.4
3312, 3002.4
4176, 3002.4
4176, 3866.4
5083.2, 1159.2
4910.4, 1159.2
4737.6, 1159.2
4564.8, 1159.2
4392, 986.4
4392, 813.6
4392, 640.8
4392, 468
4564.8, 295.2
4737.6, 295.2
4910.4, 295.2
5083.2, 295.2
5256, 468
5256, 640.8
5256, 813.6
5256, 986.4
4392, 1159.2
4392, 295.2
5256, 295.2
5256, 1159.2
3453.8, 946.4
3383.5, 1090.5
3257.7, 1189.4
3101, 1224
2944.7, 1187.6
2820.2, 1087.1
2751.7, 942.2
2752.6, 781.6
2822.9, 637.5
2948.7, 538.6
3105.4, 504
3261.7, 540.4
3386.2, 640.9
3454.7, 785.8
